term,mean_tfidf,class_
parah,0.000874,positif
dapat sertifikat,0.000873,positif
ada,0.000873,positif
or,0.000872,positif
asik,0.000869,positif
belum buka,0.000866,positif
mau masuk,0.000864,positif
moga depan,0.000864,positif
sidik jari,0.000861,positif
tdk kendala,0.000861,positif
aplikasi yg,0.000859,positif
okay,0.000858,positif
emo_sedih emo_sedih,0.000856,positif
yuk,0.000856,positif
mohon baik,0.000855,positif
versi tidak guna,0.000854,positif
belum coba,0.000853,positif
rekap hasil,0.00085,positif
trs,0.000849,positif
mudah kpps,0.000847,positif
bermamfaat,0.000847,positif
kemarin,0.000847,positif
verifikasi,0.000847,positif
bom masuk,0.000845,positif
bagus bantu,0.000843,positif
login,0.024715,netral
tidak,0.021199,netral
masuk,0.020822,netral
aplikasi,0.019577,netral
nya,0.015481,netral
update,0.014862,netral
susah,0.01439,netral
baik,0.013993,netral
mohon,0.013907,netral
versi,0.013701,netral
belum,0.013,netral
gagal,0.012202,netral
sirekap,0.012116,netral
guna,0.012042,netral
terus,0.010535,netral
password,0.010314,netral
hari,0.010127,netral
yg,0.009766,netral
min,0.009433,netral
mudah,0.009384,netral
baru,0.009237,netral
banyak,0.009206,netral
jadi,0.009042,netral
gak,0.009008,netral
lama,0.008773,netral
apk,0.008491,netral
solusi,0.008235,netral
log,0.008168,netral
emo_lainnya,0.008009,netral
bagus,0.007879,netral
error,0.007619,netral
padahal,0.007565,netral
udah,0.007487,netral
eror,0.007391,netral
username,0.00737,netral
kurang,0.007294,netral
sulit,0.007257,netral
dulu,0.007128,netral
foto,0.007105,netral
ga,0.007004,netral
coba,0.006995,netral
mau,0.0069,netral
bagaimana,0.006737,netral
lebih,0.006619,netral
kendala,0.006591,netral
lancar,0.006578,netral
lupa,0.006525,netral
kasih,0.006517,netral
salah,0.006497,netral
milu,0.006482,netral
hasil,0.006456,netral
gimana,0.006442,netral
buat,0.006435,netral
data,0.006413,netral
log in,0.006194,netral
moga,0.006164,netral
in,0.006138,netral
malah,0.006112,netral
apa,0.006101,netral
proses,0.00608,netral
buka,0.005795,netral
hp,0.005718,netral
tidak login,0.005699,netral
digital,0.005621,netral
aja,0.005473,netral
tingkat,0.005458,netral
sekali,0.00541,netral
kalau,0.00532,netral
selalu,0.005249,netral
server,0.00522,netral
dapat,0.005176,netral
loading,0.005175,netral
pas,0.005097,netral
sandi,0.004988,netral
cara,0.004962,netral
bintang,0.00495,netral
gambar,0.004885,netral
banget,0.004879,netral
bantu,0.004859,netral
ulang,0.004812,netral
pakai,0.004755,netral
tidak guna,0.004631,netral
sangat,0.004505,netral
sertifikat,0.004493,netral
aplikasi tidak,0.004431,netral
sama,0.004276,netral
masalah,0.00425,netral
akun,0.004174,netral
kunci,0.004172,netral
upload,0.004151,netral
inisial,0.004104,netral
simulasi,0.004077,netral
username password,0.004058,netral
lambat,0.004049,netral
blm,0.004045,netral
kamera,0.004041,netral
mohon bantu,0.004,netral
gagal terus,0.003989,netral
tdk,0.003968,netral
gagal dapat,0.003958,netral
kpps,0.003948,netral
invalid,0.003945,netral
waktu,0.003929,netral
sering,0.003913,netral
akses,0.003848,netral
download,0.003786,netral
cepat,0.003765,netral
kali,0.003741,netral
punya,0.00373,netral
lupa password,0.003712,netral
update versi,0.00371,netral
kok,0.003705,netral
udh,0.003696,netral
kalo,0.003686,netral
siap,0.003683,netral
lot,0.003652,netral
segera,0.003616,netral
pake,0.003596,netral
tetap,0.003573,netral
kpu,0.003541,netral
ambil,0.003474,netral
susah sekali,0.003447,netral
perlu,0.00344,netral
biar,0.003404,netral
android,0.0034,netral
bintang dulu,0.003331,netral
aplikasi sirekap,0.003313,netral
servernya,0.003251,netral
admin,0.003243,netral
kata,0.003236,netral
pasword,0.003232,netral
kerja,0.003219,netral
kunci digital,0.003203,netral
sidik jari,0.0032,netral
fitur,0.003197,netral
versi baru,0.003196,netral
sidik,0.003193,netral
emo_senang,0.003193,netral
lumayan,0.003183,netral
semua,0.003175,netral
tidak masuk,0.003172,netral
jari,0.00316,netral
tulis,0.003136,netral
gk,0.00312,netral
atas,0.003103,netral
sekarang,0.003012,netral
sertifikat digital,0.003009,netral
ga login,0.002956,netral
kadang,0.002954,netral
sistem,0.002935,netral
aktivasi,0.002913,netral
emo_lainnya emo_lainnya,0.002912,netral
eror terus,0.002902,netral
loginnya,0.002895,netral
maksimal,0.002886,netral
terima,0.002879,netral
lg,0.002848,netral
lah,0.002844,netral
daftar,0.002838,netral
gagal dapat sertifikat,0.002833,netral
susah masuk,0.002827,netral
email,0.0028,netral
awal,0.002791,netral
cukup,0.002779,netral
dapat sertifikat,0.002771,netral
down,0.002761,netral
tidak buka,0.002753,netral
kualitas,0.00275,netral
verifikasi,0.002746,netral
blum,0.002743,netral
kurang baik,0.002719,netral
terlalu,0.002715,netral
aplikasi tidak guna,0.002711,netral
tiba,0.002697,netral
ganti,0.00266,netral
apk nya,0.002651,netral
bagaimana solusi,0.002636,netral
pilih,0.002598,netral
masuk aplikasi,0.002569,netral
mau masuk,0.002568,netral
mohon baik,0.00254,netral
kasih bintang,0.002528,netral
ganggu,0.002525,netral
lebih baik,0.002515,netral
langsung,0.002512,netral
aplikasi versi,0.002503,netral
indonesia,0.0025,netral
soal,0.002498,netral
emo_sedih,0.00249,netral
tp,0.002486,netral
mudah mudah,0.002473,netral
submit,0.002417,netral
tetep,0.002416,netral
mau login,0.002407,netral
gak login,0.002407,netral
jauh,0.002407,netral
dapat kunci digital,0.002403,netral
aplikasi nya,0.002384,netral
dapat kunci,0.002376,netral
maaf,0.002362,netral
apknya,0.002329,netral
aman,0.002326,netral
terang,0.002324,netral
dong,0.002324,netral
update malah,0.002321,netral
knp,0.002301,netral
edit,0.0023,netral
masuk sirekap,0.002286,netral
bug,0.002268,netral
minta,0.002256,netral
uji,0.002245,netral
versi tidak,0.002243,netral
ambil gambar,0.002238,netral
baca,0.002237,netral
sendiri,0.002222,netral
mulu,0.00222,netral
manual,0.002218,netral
bukan,0.002214,netral
muncul,0.002208,netral
kode,0.002189,netral
bingung,0.002185,netral
login nya,0.002182,netral
loging,0.002182,netral
rekap,0.00217,netral
belum login,0.002169,netral
butuh,0.002169,netral
sampe,0.002168,netral
mohon solusi,0.002167,netral
sabar,0.002166,netral
dapat sertifikat digital,0.002165,netral
hapus,0.002164,netral
kembang,0.002158,netral
update aplikasi,0.002153,netral
out,0.002147,netral
susah login,0.002146,netral
menu,0.002146,netral
ko,0.002135,netral
optimal,0.002134,netral
jangan,0.002128,netral
tau,0.00212,netral
tugas,0.002115,netral
login susah,0.002108,netral
malah tidak,0.002101,netral
versi tidak guna,0.002101,netral
loading lama,0.002085,netral
susah banget,0.002085,netral
sdh,0.002085,netral
pagi,0.002063,netral
mantab,0.002057,netral
login gagal,0.002051,netral
kan,0.002043,netral
mulai,0.002039,netral
terima kasih,0.002036,netral
tak,0.002033,netral
benar,0.002031,netral
nyata,0.002024,netral
kirim,0.002022,netral
beri,0.00202,netral
utama,0.002,netral
aplikasi versi tidak,0.001988,netral
bagus banget,0.001984,netral
maksud,0.001978,netral
password salah,0.001976,netral
jelas,0.001963,netral
pak,0.001947,netral
knpa,0.001945,netral
keluar,0.001923,netral
penting,0.001915,netral
klo,0.001914,netral
mana,0.00191,netral
tulis aplikasi,0.00191,netral
gagal masuk,0.001902,netral
sesuai,0.00189,netral
file,0.001881,netral
semangat,0.00188,netral
suka,0.001866,netral
susah log in,0.001862,netral
ubah,0.00186,netral
segera baik,0.001859,netral
susah log,0.001837,netral
gk login,0.001808,netral
trus,0.001807,netral
nyoba,0.001802,netral
pps,0.001799,netral
depan,0.001792,netral
sih,0.00179,netral
tambah,0.001788,netral
link,0.001786,netral
pernah,0.00177,netral
bnyak,0.001761,netral
aja susah,0.001761,netral
suara,0.001758,netral
mudah an,0.001755,netral
login gagal terus,0.001749,netral
aplikasi belum,0.001747,netral
fokus,0.001743,netral
alhamdulillah,0.001739,netral
teman,0.00173,netral
nya susah,0.001721,netral
diupgrade,0.00172,netral
simpan,0.001714,netral
isi,0.001711,netral
baharu,0.001706,netral
an,0.0017,netral
dah,0.001698,netral
log out,0.001695,netral
ribet,0.00168,netral
nunggu,0.001679,netral
user,0.001671,netral
mungkin,0.001666,netral
apk sirekap,0.001666,netral
yg tidak,0.00166,netral
tgl,0.001655,netral
padahal username,0.001654,netral
ram,0.00165,netral
trs,0.001638,netral
gmn,0.001635,netral
guna aplikasi,0.001633,netral
belum masuk,0.001631,netral
gabisa,0.001608,netral
tadi,0.001605,netral
sy,0.001602,netral
enak,0.001597,netral
rekap hasil,0.001594,netral
gimna,0.001592,netral
ngak,0.001592,netral
anggota,0.00159,netral
beberapa,0.001583,netral
lanjut,0.001583,netral
update baru,0.00158,netral
bagi,0.001578,netral
suruh,0.001571,netral
tidak kendala,0.001566,netral
beda,0.001563,netral
perlu tingkat,0.001558,netral
kata sandi,0.001555,netral
sangat sulit,0.001553,netral
akhir,0.001552,netral
versi lama,0.001551,netral
kok tidak,0.001547,netral
masuk gak,0.001545,netral
token,0.001543,netral
gin,0.001536,netral
mohon segera,0.001529,netral
blm masuk,0.001529,netral
per,0.001524,netral
tiap,0.001524,netral
aplikasi mohon,0.001523,netral
kasih bintang dulu,0.001523,netral
cara atas,0.001521,netral
login aplikasi,0.00152,netral
baik login,0.00152,netral
pas hari,0.001513,netral
gagal dapat kunci,0.001512,netral
yaa,0.001512,netral
jadi salah,0.00151,netral
tunggu,0.001509,netral
akun sirekap,0.001502,netral
ngga,0.001502,netral
moga lancar,0.0015,netral
developer,0.001489,netral
cek,0.001486,netral
gagal login,0.001478,netral
login lama,0.001478,netral
seluruh,0.001474,netral
laku,0.001471,netral
instal,0.00147,netral
hilang,0.001467,netral
banyak yg,0.001456,netral
opsi,0.001453,netral
serentak,0.001449,netral
belum guna,0.001446,netral
kemarin,0.001444,netral
mohon tingkat,0.00144,netral
login sirekap,0.00144,netral
selalu gagal,0.001432,netral
udah update,0.001432,netral
baru malah,0.001426,netral
gagal trus,0.001414,netral
lama proses,0.001408,netral
saran,0.001408,netral
hubung,0.001406,netral
banyak bug,0.001397,netral
otomatis,0.001393,netral
bagaimana cara,0.001393,netral
ada,0.001393,netral
blm login,0.001385,netral
device,0.001384,netral
nasional,0.001377,netral
belum siap,0.001375,netral
msh,0.001375,netral
login username,0.001369,netral
jaring,0.001359,netral
nih,0.001357,netral
baru malah tidak,0.001356,netral
lalu,0.001352,netral
scan,0.001351,netral
mohon arah,0.001347,netral
update malah ga,0.001344,netral
tugas kpps,0.001342,netral
deh,0.001341,netral
ni,0.00134,netral
susah sekali login,0.001339,netral
proses verifikasi,0.001335,netral
gak masuk,0.001333,netral
masuk terus,0.001328,netral
uji coba,0.001321,netral
buat update,0.00132,netral
malah ga login,0.001316,netral
lihat,0.001311,netral
bom,0.001307,netral
sempurna,0.001306,netral
sering susah masuk,0.001306,netral
aplikasi banyak,0.001303,netral
internet,0.001302,netral
udah hari,0.001302,netral
bahkan,0.001301,netral
tingkat cepat,0.0013,netral
rumit,0.0013,netral
tidak masuk terus,0.001298,netral
dpt,0.001298,netral
gitu,0.001298,netral
berat aplikasi,0.001297,netral
yah,0.001297,netral
